"","DIRECTORIO","SECUENCIA_P","ORDEN.x","CAR","SEC","CONS","REC","I_HOGAR"
"80","7910208","1","1",1,0,1,1,2876082.14911073
"81","7910209","1","1",1,0,1,0,2794826.35326684
"82","7910210","1","1",1,0,1,1,2776514.6323666
"83","7910212","1","1",1,0,1,1,1605605.58367521
"84","7910213","1","1",1,0,1,1,2524274.98664707
"85","7910214","1","1",1,0,1,1,1873287.61659563
"86","7910215","1","1",1,0,1,1,1305271.19934559
"87","7910216","1","1",1,0,1,1,1334497.41210788
"88","7910218","1","1",1,0,1,1,2562342.62524173
"89","7910219","1","1",1,0,1,0,1800125.00735
"90","7910221","1","1",1,0,1,1,1926850.74446723
"91","7910222","1","1",1,0,1,1,1792989.86442387
"92","7910223","1","1",1,0,1,1,1175476.09779984
"93","7910224","1","1",1,0,1,1,2837297.98292741
"94","7910226","1","1",1,0,1,1,1495257.97020644
"95","7910228","1","1",1,0,1,1,2489958.34620669
"96","7910229","1","1",1,1,1,0,2212412.52854466
"97","7910230","1","1",0,0,1,1,2153667.00099781
"98","7910233","1","1",1,0,1,1,1813103.24436054
"99","7910235","1","1",0,1,1,0,2676328.98230106
"100","7910237","1","1",0,0,1,1,1502491.64063483
"101","7910238","1","1",1,0,1,1,1889329.23702523
"102","7910241","1","1",1,0,1,1,2054635.3738755
"103","7910242","1","1",1,0,1,1,2074371.26005068
"104","7910243","1","1",1,0,1,1,1872154.37145904
"105","7910244","1","1",1,1,1,1,2343575.49864799
"106","7910246","1","1",1,0,1,1,1792647.65394852
"107","7910247","1","1",1,0,1,1,2919231.51312396
"108","7910249","1","1",0,1,1,1,1238589.60440382
"109","7910251","1","1",1,0,1,0,2568312.8092438
"110","7910252","1","1",0,0,1,0,1534936.87843904
"111","7910253","1","1",1,0,1,1,2419948.39897379
"112","7910254","1","1",1,0,1,1,1888948.66643474
"113","7910255","1","1",1,0,1,0,1267558.92336369
"114","7910257","1","1",0,0,1,1,2514707.30492845
"115","7910258","1","1",0,0,1,1,2309728.51803526
"116","7910260","1","1",1,0,1,1,2317670.29996961
"117","7910261","1","1",0,1,1,0,2201289.41165283
"118","7910262","1","1",0,1,0,1,2612349.73089769
"119","7910263","1","1",1,0,1,1,1498715.85434303
"120","7910264","1","1",1,0,1,1,2692146.72978967
"121","7910265","1","1",1,0,1,1,2136006.32674992
"122","7910267","1","1",1,0,1,1,2030559.02060121
"123","7910268","1","1",1,0,1,1,2196337.18894795
"124","7910269","1","1",1,0,1,1,1567038.94527629
"125","7910270","1","1",1,0,1,1,2460267.55411178
"126","7910271","1","1",0,0,0,0,1750994.49807778
"127","7910272","1","1",1,1,1,1,2557544.28811371
"128","7910273","1","1",1,1,1,1,1454890.19885659
"129","7910274","1","1",1,1,1,0,2310230.08272052
"130","7910275","1","1",1,0,1,1,1359298.66192862
"131","7910276","1","1",1,0,1,1,2754063.35676089
"132","7910277","1","1",1,0,1,1,2592721.98485211
"133","7910278","1","1",0,0,1,0,2593542.36291721
"134","7910279","1","1",1,1,1,1,2089357.66007751
"135","7910280","1","1",1,1,1,1,2771181.2560074
"136","7910281","1","1",0,0,1,1,2369951.54641569
"137","7910282","1","1",0,1,0,1,2809170.92598975
"138","7910283","1","1",1,0,1,1,2649516.37525111
"139","7910284","1","1",1,1,1,1,2555145.02679929
"140","7910285","1","1",1,0,1,1,2642120.38731202
"141","7910287","1","1",1,1,1,1,2387937.19412759
"142","7910288","1","1",1,0,1,1,2104456.32109419
"143","7910289","1","1",0,0,1,1,1487717.61506796
"144","7910290","1","1",0,0,1,1,2195484.66568813
"145","7910293","1","1",1,1,1,1,1655115.45071378
"146","7910294","1","1",1,0,1,1,2482987.86247149
"147","7910295","1","1",1,0,1,1,1515238.21581155
"148","7910296","1","1",1,1,1,1,2860711.53445169
"149","7910297","1","1",1,0,1,1,1253017.1658285
"150","7910298","1","1",1,0,1,1,2939481.03396222
"151","7910299","1","1",1,0,1,1,1330101.51196271
"152","7910300","1","1",1,0,1,1,2822752.29388848
"153","7910301","1","1",1,1,1,1,1504064.67482448
"154","7910302","1","1",1,1,1,1,1532892.47164503
"155","7910303","1","1",0,0,1,1,1690946.69001177
"156","7910304","1","1",1,0,1,1,2629481.54227808
"157","7910305","1","1",1,1,1,0,2034223.05613756
"158","7910306","1","1",0,0,1,1,2578220.14469653
"159","7910307","1","1",1,0,1,1,2985826.52501762
"160","7910308","1","1",1,1,1,1,2652423.14327508
"161","7910309","1","1",1,0,1,1,2326642.39978418
"162","7910310","1","1",1,0,1,1,2716658.92133489
"163","7910311","1","1",1,1,1,1,2083118.42404306
"164","7910312","1","1",1,0,1,1,2380315.47052786
"165","7910314","1","1",1,0,1,1,2101445.87866962
"166","7910315","1","1",1,1,1,1,2125334.25020054
"167","7910318","1","1",1,0,1,1,1798486.21889949
"168","7910319","1","1",1,0,1,1,2648994.12658066
"169","7910320","1","1",1,0,1,1,1553713.97851035
"170","7910321","1","1",1,0,1,1,1938345.54161876
"171","7910322","1","1",1,0,1,1,1854845.73494643
"172","7910323","1","1",1,0,1,1,2603757.06467777
"173","7910325","1","1",1,0,1,1,1830947.8741698
"174","7910326","1","1",1,0,1,1,2506180.72455749
"175","7910327","1","1",1,0,1,1,1859811.83551252
"176","7910328","1","1",1,1,1,1,2475289.53431174
"177","7910329","1","1",1,0,1,1,1228187.18779832
"178","7910330","1","1",1,1,1,1,2077348.81184995
"179","7910331","1","1",1,1,1,1,2487542.28828475
"180","7910333","1","1",1,0,1,1,2960473.12062234
"181","7910335","1","1",1,0,1,1,2906267.99965277
"182","7910337","1","1",1,0,1,1,1704809.45324525
"183","7910338","1","1",1,0,1,1,1637160.56443751
"184","7910341","1","1",1,1,1,1,2860112.12257668
"185","7910342","1","1",0,0,1,1,2506952.19466463
"186","7910343","1","1",1,0,1,1,2521090.91158956
"187","7910345","1","1",0,1,1,1,2251922.91719839
"188","7910346","1","1",1,1,1,1,1307681.0470596
"189","7910347","1","1",0,1,1,1,2634508.50168243
"190","7910349","1","1",1,0,1,1,1640532.34320134
"191","7910350","1","1",1,1,1,0,1680910.94857082
"192","7910351","1","1",1,1,1,1,2474049.04570431
"193","7910352","1","1",1,0,1,1,2757515.69900662
"194","7910353","1","1",1,0,1,1,2450434.4031401
"195","7910354","1","1",1,0,1,1,1273675.27687922
"196","7910355","1","1",1,0,1,1,1964836.12008393
"197","7910357","1","1",1,1,1,1,1768392.74777099
"198","7910358","1","1",1,1,1,1,2823737.4326773
"199","7910359","1","1",1,0,1,1,1969815.00221416
"200","7910360","1","1",1,0,1,1,1868345.26913241
"201","7910361","1","1",1,1,1,1,2444577.55157724
"202","7910362","1","1",1,1,1,1,2768091.05936438
"203","7910363","1","1",1,1,1,1,2487706.01183176
"204","7910364","1","1",1,0,1,1,1973375.90871379
"205","7910365","1","1",1,0,1,1,2021826.28283277
"206","7910366","1","1",1,0,1,1,2754043.32609847
"207","7910369","1","1",1,0,1,1,1381030.42479604
"208","7910370","1","1",1,0,1,0,1189949.53062385
"209","7910371","1","1",1,0,1,0,2303069.71210986
"210","7910372","1","1",1,1,0,1,1988862.84695938
"211","7910374","1","1",1,0,1,1,1260041.56475887
"212","7910375","1","1",1,1,1,0,1890507.11074844
"213","7910376","1","1",1,0,1,1,2704179.35382575
"214","7910377","1","1",1,0,1,1,2111421.74275592
"215","7910378","1","1",1,1,1,0,2718292.65970737
"216","7910381","1","1",1,1,1,1,1782754.02585045
"217","7910382","1","1",1,0,1,1,2631239.29416761
"218","7910384","1","1",1,0,1,1,2490312.15883791
"219","7910385","1","1",1,1,1,0,2167932.80141428
"220","7910386","1","1",1,0,1,1,1693726.95932165
"221","7910389","1","1",1,0,1,1,1776328.24366912
"222","7910390","1","1",1,1,1,1,2360604.34807092
"223","7910391","1","1",1,0,1,1,2405415.83294049
"224","7910392","1","1",1,0,1,1,2511294.893343
"225","7910393","1","1",1,0,1,1,2522615.58447033
"226","7910395","1","1",1,1,1,1,1605640.3545849
"227","7910396","1","1",1,0,1,1,2502419.4711633
"228","7910397","1","1",1,0,1,1,1634753.58363241
"229","7910399","1","1",1,1,1,1,1503978.36638615
"230","7910400","1","1",1,0,1,1,2825014.7189945
"231","7910401","1","1",1,0,1,0,2887194.73401085
"232","7910402","1","1",1,0,1,0,2939786.691349
"233","7910404","1","1",1,0,1,1,1357177.89305374
"234","7910405","1","1",1,1,1,1,1871614.04952407
"235","7910406","1","1",1,1,1,1,2751753.68977711
"236","7910409","1","1",1,0,1,1,1885820.63447684
"237","7910410","1","1",1,0,1,1,2700338.08145672
"238","7910411","1","1",1,0,1,1,1255523.12782034
"239","7910413","1","1",1,0,1,1,2299991.65056273
"240","7910415","1","1",1,0,1,1,2131822.98228145
"241","7910416","1","1",1,0,1,1,1270412.1394828
"242","7910417","1","1",1,1,1,1,1400882.34795257
"243","7910418","1","1",1,0,1,1,2892874.71674383
"244","7910419","1","1",0,0,1,1,2494248.81847575
"245","7910420","1","1",1,1,1,1,2548123.92661348
"246","7910421","1","1",1,0,1,1,1996193.10548529
"247","7910422","1","1",1,0,1,1,1950311.50531024
"248","7910423","1","1",1,0,1,1,2463689.67428803
"249","7910424","1","1",1,0,1,1,2571391.72546566
"250","7910425","1","1",1,0,1,1,1675308.82306397
"251","7910426","1","1",0,1,1,1,2884803.08422819
"252","7910427","1","1",1,0,1,0,1247846.91067412
"253","7910429","1","1",0,0,1,1,2436545.40888965
"254","7910430","1","1",1,0,1,1,2499497.15619907
"255","7910431","1","1",1,1,1,1,2104459.78049189
"256","7910432","1","1",1,1,1,1,1782973.82162884
"257","7910433","1","1",1,0,1,1,1290848.19190204
"258","7910435","1","1",1,0,1,1,2403929.54116687
"259","7910436","1","1",1,0,1,1,2716522.14510366
"260","7910438","1","1",1,0,1,1,1942689.48568031
"261","7910439","1","1",1,0,1,1,1668717.76392683
"262","7910440","1","1",1,1,1,1,1502297.53779247
"263","7910441","1","1",1,0,1,1,2616768.04065704
"264","7910442","1","1",1,0,1,1,1698713.50781992
"265","7910443","1","1",1,1,1,1,2644513.71774077
"266","7910445","1","1",1,0,1,1,1719075.74933022
"267","7910446","1","1",1,0,1,1,2344368.10942367
"268","7910447","1","1",1,0,1,1,2160143.61811802
"269","7910448","1","1",1,1,1,1,2764064.96262178
"270","7910448","1","2",1,1,1,1,2092680.67182973
"271","7910449","1","1",1,0,1,1,1573071.15510106
"272","7910450","1","1",1,0,1,1,2462956.50132
"273","7910451","1","1",0,1,0,1,2396332.47161284
"274","7910453","1","1",1,0,1,1,1887501.25229359
"275","7910454","1","1",1,0,1,1,2669074.08980653
"276","7910455","1","1",1,0,1,1,2874790.55566713
"277","7910456","1","1",0,0,1,0,2275641.80223271
"278","7910458","1","1",1,0,1,1,1915075.25157183
"279","7910459","1","1",1,0,1,1,2711418.87674108
"280","7910461","1","1",1,1,1,1,1819361.25667766
"281","7910462","1","1",1,0,1,1,1292384.84179601
"282","7910463","1","1",1,1,1,1,2699397.54340798
"283","7910464","1","1",1,1,1,1,1511155.32454103
"284","7910465","1","1",1,1,1,1,1927393.27270538
"285","7910468","1","1",1,0,1,1,2200737.32433841
"286","7910469","1","1",1,0,1,1,1253329.13024351
"287","7910470","1","1",1,0,1,1,2231019.68029514
"288","7910471","1","1",1,0,1,1,1480376.30360574
"289","7910472","1","1",1,0,1,1,2420815.02029672
"290","7910473","1","1",1,0,1,1,1672524.06874672
"291","7910474","1","1",1,0,1,0,2027443.87473911
"292","7910475","1","1",1,1,1,1,2035769.77705583
"293","7910476","1","1",1,0,1,1,1504118.22758615
"294","7910478","1","1",1,0,1,1,1796659.96665135
"295","7910480","1","1",1,0,1,1,2423153.39578316
"296","7910481","1","1",1,0,1,0,2492125.7571876
"297","7910485","1","1",1,1,1,1,2325196.1337775
"298","7910488","1","1",0,0,1,1,1250657.67880529
"299","7910490","1","1",1,0,1,1,1410458.57984573
"300","7910491","1","1",0,0,1,1,2190118.48438531
"301","7910492","1","1",1,1,1,1,1824303.84833366
"302","7910493","1","1",0,0,1,1,2354755.51974028
"303","7910494","1","1",1,1,1,1,2749290.71985185
"304","7910495","1","1",1,0,1,1,1778981.70281202
"305","7910496","1","1",0,0,1,1,1495404.14271876
"306","7910499","1","1",1,1,1,1,1443161.4795886
"307","7910500","1","1",0,0,1,0,1928801.00637674
"308","7910501","1","1",1,0,1,1,1691240.91874808
"309","7910504","1","1",1,0,1,1,2542552.38903686
"310","7910505","1","1",1,0,1,0,2184067.54625961
"311","7910506","1","1",0,1,1,1,1550994.18289959
"312","7910507","1","1",1,0,1,1,2684173.53566736
"313","7910509","1","1",1,0,1,1,1262569.26847622
"314","7910511","1","1",1,0,1,1,2676614.04438317
"315","7910512","1","1",1,0,1,1,2781167.15598851
"316","7910513","1","1",1,0,1,1,2656687.12576851
"317","7910514","1","1",1,0,1,1,2796226.97792947
"318","7910515","1","1",1,1,1,1,1946021.64909244
"319","7910517","1","1",1,0,1,1,2071992.22175404
"320","7910518","1","1",1,0,1,1,2654070.41464001
"321","7910519","1","1",0,0,1,1,2328674.4979769
"322","7910520","1","1",1,0,1,1,2937912.63343766
"323","7910522","1","1",1,0,1,1,2149037.82434762
"324","7910523","1","1",1,0,1,1,1469689.33515251
"325","7910524","1","1",1,1,1,1,2084986.64874583
"326","7910525","1","1",1,0,1,1,2897304.49713767
"327","7910526","1","1",1,0,1,1,2578906.77280724
"328","7910528","1","1",1,0,1,1,2290807.94528127
"329","7910529","1","1",1,0,1,1,2726460.81991494
"330","7910530","1","1",1,0,1,1,1748788.63787279
"331","7910531","1","1",1,0,1,1,1849513.19355518
"332","7910532","1","1",0,0,1,0,2856363.35428804
"333","7910533","1","1",1,0,1,1,2312791.89674184
"334","7910535","1","1",1,0,1,1,2318004.63158637
"335","7910536","1","1",1,0,1,1,2546154.35548127
"336","7910537","1","1",1,1,1,1,1875544.81297731
"337","7910538","1","1",1,0,1,1,2311118.4534803
"338","7910541","1","1",1,0,1,1,1621440.44050947
"339","7910544","1","1",1,1,1,1,1211060.37551537
"340","7910545","1","1",1,0,1,1,1756114.18733373
"341","7910547","1","1",1,1,1,0,1177742.80741811
"342","7910548","1","1",1,1,1,1,1966773.02679047
"343","7910550","1","1",0,0,1,0,2421143.27151328
"344","7910551","1","1",0,0,1,0,1504529.36083078
"345","7910552","1","1",1,0,1,1,2780501.46890804
"346","7910553","1","1",1,0,1,1,2029168.95620525
"347","7910554","1","1",0,0,1,1,1340401.12812072
"348","7910555","1","1",1,0,1,1,1885600.66562146
"349","7910556","1","1",1,0,1,1,2504999.24106523
"350","7910557","1","1",0,0,0,0,2424640.48825204
"351","7910558","1","1",1,0,1,1,2265915.1295945
"352","7910559","1","1",0,0,1,0,1817729.73746061
"353","7910560","1","1",0,0,1,1,2570624.83161688
"354","7910561","1","1",1,0,1,1,1256001.02808326
"355","7910562","1","1",1,1,1,1,2829371.09546736
"356","7910564","1","1",0,0,1,0,1790744.01358142
"357","7910565","1","1",1,1,1,1,2187633.63350183
"358","7910567","1","1",1,0,1,1,1961510.59228927
"359","7910568","1","1",1,0,1,1,1665521.68015391
"360","7910569","1","1",1,0,1,1,1375849.46971387
"361","7910570","1","1",1,0,1,1,2973926.02683976
"362","7910572","1","1",1,0,1,1,2865631.62481412
"363","7910574","1","1",0,0,1,0,2981637.47671992
"364","7910575","1","1",1,0,1,1,2183538.28839958
"365","7910576","1","1",1,0,1,1,2764084.43249762
"366","7910577","1","1",0,0,0,1,2544491.45406485
"367","7910578","1","1",1,0,1,1,1940726.75965726
"368","7910579","1","1",1,1,1,1,1935380.61758503
"369","7910582","1","1",1,1,1,1,2415894.05898005
"370","7910583","1","1",0,0,1,1,1384575.09204745
"371","7910584","1","1",1,0,1,1,1698592.76905656
"372","7910585","1","1",1,0,1,1,1525227.48393938
"373","7910586","1","1",1,0,1,1,2732161.49091721
"374","7910589","1","1",1,0,1,1,1250317.20209867
"375","7910590","1","1",1,0,1,1,2385525.24592727
"376","7910591","1","1",1,0,1,1,1891301.57139152
"377","7910592","1","1",1,1,1,1,1223264.39075172
"378","7910593","1","1",1,1,1,1,1460554.41187695
"379","7910594","1","1",1,0,1,1,1609836.16231009
"380","7910595","1","1",1,1,1,1,1947641.90673828
"381","7910596","1","1",1,1,1,1,1209110.25283858
"382","7910598","1","1",1,0,1,1,2437706.1368525
"383","7910600","1","1",1,0,1,1,2791707.60791749
"384","7910602","1","1",1,0,1,1,2745208.84647965
"385","7910603","1","1",1,0,1,1,1877825.19996166
"386","7910604","1","1",1,0,1,1,1792875.56121126
"387","7910605","1","1",1,0,1,1,1411319.75438446
"388","7910607","1","1",1,0,1,1,1814723.92655909
"389","7910608","1","1",1,0,1,1,2005120.28496712
"390","7910609","1","1",0,0,1,1,2761271.92331478
"391","7910610","1","1",1,0,1,1,2336611.3463603
"392","7910611","1","1",1,1,1,1,2038595.76225281
"393","7910613","1","1",1,0,1,1,1507404.15802225
"394","7910615","1","1",1,0,1,1,2097846.14380449
"395","7910616","1","1",1,0,1,1,2038439.6982193
"396","7910617","1","1",1,0,1,1,1485510.35225391
"397","7910618","1","1",1,0,1,1,1676329.4743374
"398","7910619","1","1",1,0,1,1,1370502.68931314
"399","7910620","1","1",1,1,1,1,2522043.21544617
"400","7910622","1","1",1,0,1,1,2073781.39782697
"401","7910623","1","1",1,0,1,1,2960405.32071143
"402","7910627","1","1",1,0,1,1,2358180.77072501
"403","7910629","1","1",1,0,1,1,2642656.76531941
"404","7910630","1","1",1,1,1,1,2836888.73682171
"405","7910631","1","1",1,0,0,0,2061716.98546037
"406","7910634","1","1",1,0,1,1,1246252.84463167
"407","7910635","1","1",0,1,1,1,2495763.50258663
"408","7910636","1","1",1,0,1,1,1341335.8021155
"409","7910637","1","1",1,0,1,1,2794102.30839625
"410","7910638","1","1",1,0,1,1,1883315.36822021
"411","7910640","1","1",1,0,1,1,1380231.92897439
"412","7910641","1","1",1,0,1,1,2683030.4915458
"413","7910642","1","1",1,0,1,1,1658915.14133662
"414","7910643","1","1",1,0,1,1,2910411.90398857
"415","7910644","1","1",0,1,1,0,2357323.12541455
"416","7910645","1","1",1,0,1,1,1416121.6644384
"417","7910646","1","1",1,0,1,1,1308829.28434759
"418","7910647","1","1",1,0,1,1,1990576.06365532
"419","7910648","1","1",1,0,1,1,2799655.82368895
"420","7910651","1","1",1,0,1,1,2609426.03517324
"421","7910653","1","1",1,1,1,1,2091382.87974522
"422","7910654","1","1",1,0,1,1,2639340.82701802
"423","7910655","1","1",1,0,1,1,1256624.30530414
"424","7910656","1","1",1,0,1,1,2623338.82750943
"425","7910657","1","1",1,0,1,1,1625293.06055978
"426","7910658","1","1",1,1,1,1,2859578.64617929
"427","7910659","1","1",1,0,1,1,1680167.22604632
"428","7910660","1","1",1,1,1,1,2626521.04627341
"429","7910661","1","1",1,0,1,1,1497744.62126195
"430","7910662","1","1",1,0,1,1,2862421.70302197
"431","7910663","1","1",1,0,1,0,2875060.13035774
"432","7910664","1","1",1,1,1,1,1500948.42238352
"433","7910665","1","1",1,0,1,1,1979545.21907493
"434","7910666","1","1",1,1,1,1,1816710.26987955
"435","7910667","1","1",1,0,1,1,2159329.55008
"436","7910668","1","1",1,1,1,1,1186587.13143319
"437","7910669","1","1",1,0,1,1,1436522.98578992
"438","7910670","1","1",1,0,1,1,1837428.7578091
"439","7910671","1","1",1,1,1,1,1763984.44991559
"440","7910672","1","1",1,0,1,1,1398887.73549348
"441","7910673","1","1",1,0,1,1,1937005.8837533
"442","7910674","1","1",1,1,1,1,1203959.18652415
"443","7910675","1","1",1,0,1,1,1347966.21270478
"444","7910676","1","1",1,0,1,1,1987571.91026583
"445","7910678","1","1",1,1,1,1,2686900.02301708
"446","7910679","1","1",1,0,1,1,1530772.86804095
"447","7910680","1","1",1,0,1,1,2414386.28338277
"448","7910683","1","1",0,0,1,1,2186998.52149934
"449","7910684","1","1",1,0,1,1,1690208.12124014
"450","7910685","1","1",1,0,1,0,1362919.19430718
"451","7910686","1","1",1,0,1,0,2802924.27806184
"452","7910687","1","1",1,1,1,1,1435917.01112688
"453","7910688","1","1",1,0,1,1,2068799.90026355
"454","7910690","1","1",1,0,1,1,1528288.67476434
"455","7910691","1","1",1,0,1,1,1554205.354359
"456","7910692","1","1",1,0,1,1,1926292.61873662
"457","7910694","1","1",1,0,1,1,1792927.46545747
"458","7910695","1","1",1,0,1,1,1285279.96806428
"459","7910696","1","1",1,1,1,1,1213237.98518628
"460","7910697","1","1",1,0,1,1,2435813.66080791
"461","7910700","1","1",1,0,1,1,2695422.01984674
"462","7910702","1","1",1,0,1,1,2840614.81831595
"463","7910703","1","1",1,0,1,1,1718700.87057352
"464","7910704","1","1",1,0,1,0,1903844.69542652
"465","7910705","1","1",1,0,1,1,2090688.67994472
"466","7910706","1","1",1,1,1,1,1255065.29849023
"467","7910708","1","1",1,1,1,1,1890610.81770808
"468","7910709","1","1",1,1,1,1,2034872.38101661
"469","7910710","1","1",1,0,1,1,2882314.23158199
"470","7910712","1","1",1,0,1,0,2632292.84849018
"471","7910713","1","1",1,0,1,1,1289399.26290885
"472","7910715","1","1",1,0,1,1,1574039.89655897
"473","7910716","1","1",1,0,1,1,2067846.08155489
"474","7910719","1","1",0,0,1,1,2180286.8594043
"475","7910720","1","1",1,0,1,1,2098012.31784746
"476","7910721","1","1",1,1,1,1,1388978.91303524
"477","7910722","1","1",1,0,1,1,2079077.30815932
"478","7910723","1","1",1,0,1,1,1878079.79792356
"479","7910724","1","1",1,0,1,1,1771190.3350614
"480","7910725","1","1",1,0,1,1,1291957.13343099
"481","7910726","1","1",1,0,1,1,1790261.28644124
"482","7910727","1","1",1,1,1,1,2010476.15233809
"483","7910728","1","1",1,0,1,1,2193493.61116067
"484","7910729","1","1",1,1,1,1,1444145.50537243
"485","7910730","1","1",1,1,1,1,1464391.78744331
"486","7910731","1","1",1,0,1,1,1673475.84566101
"487","7910734","1","1",1,1,1,1,2888146.22860402
"488","7910735","1","1",0,0,1,0,2754942.12174788
"489","7910736","1","1",1,0,1,1,1814387.34579831
"490","7910738","1","1",1,0,1,1,2947082.10570738
"491","7910739","1","1",1,1,1,0,2954167.63851419
"492","7910740","1","1",1,0,1,1,1647294.62089017
"493","7910741","1","1",1,0,1,1,1658515.56055248
"494","7910742","1","1",1,0,1,1,1207885.34929976
"495","7910743","1","1",1,0,1,1,2023219.86788884
"496","7910744","1","1",0,0,1,1,1699594.37329322
"497","7910747","1","1",0,0,1,1,1222027.03937888
"498","7910748","1","1",1,1,1,1,1536504.81028482
"499","7910750","1","1",1,0,1,1,2613336.38753742
"500","7910753","1","1",1,0,1,0,1628830.81244305
"501","7910754","1","1",1,0,1,1,1288355.71492091
"502","7910755","1","1",0,0,0,0,2020974.51999784
"503","7910756","1","1",1,1,1,1,1162710.86800843
"504","7910757","1","1",1,1,1,1,1546738.91980201
"505","7910758","1","1",1,0,1,1,1325896.86959982
"506","7910760","1","1",1,1,1,1,2445348.38121384
"507","7910761","1","1",0,0,1,1,1887131.99939579
"508","7910762","1","1",1,1,1,1,2034097.65843302
"509","7910764","1","1",1,0,1,1,1804904.66672927
"510","7910765","1","1",1,0,1,1,1469373.04081395
"511","7910772","1","1",1,0,1,1,1662823.28139991
"512","7910774","1","1",1,1,1,1,2937241.39204249
"513","7910775","1","1",1,1,1,1,1633531.6035524
"514","7910777","1","1",1,0,1,1,2997937.76499107
